C-A10-0;F-ISIS-1
A10-1974;7519
A10-1975;7501
A10-1976;7484
A10-1977;7485
A10-1978;7482
A10-1979;7467
A10-1980;7465
A10-1981;7481
A10-1982;7493
A10-1983;7479
A10-1984;7477
A10-1985;7481
A10-1986;7486
A10-1987;7491
A10-1988;7500
A10-1989;7530
A10-1990;7587
A10-1991;7661
A10-1992;7747
A10-1993;7816
A10-1994;7849
A10-1995;7861
A10-1996;7871
A10-1997;7880
A10-1998;7888
A10-1999;7902
A10-2000;7920
A10-2001;7948
A10-2002;7989
A10-2003;8023
A10-2004;8065
A10-2005;8119
A10-2006;8162
A10-2007;8187
A10-2008;8211
A10-2009;8229
A10-2010;8245
A10-2011;8269
A10-2012;8303
A10-2013;8350
A10-2014;8415
A10-2015;8491
A10-2016;8599
A10-2017;8646
A10-2018;8679
A10-2019;8717
A10-2020;8766
A10-2021;8807
