NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_DATE;REF_YEAR;ALP_TOT_VALUE;ALP_MAL_VALUE;ALP_FEM_VALUE;ALP_TOT_DENSITY;ALP_MAL_DENSITY;ALP_FEM_DENSITY
AT1;AT13;AT130;90000;90000;20020101;2002;74.894;44.966;29.928;68,5;83,5;54
AT1;AT13;AT130;90100;90100;20020101;2002;433;232;201;35,4;19;16,5
AT1;AT13;AT130;90200;90200;20020101;2002;4.784;2.933;1.851;77,7;47,6;30,1
AT1;AT13;AT130;90300;90300;20020101;2002;3.957;2.403;1.554;68,7;41,7;27
AT1;AT13;AT130;90400;90400;20020101;2002;1.140;668;472;56,6;33,1;23,4
AT1;AT13;AT130;90500;90500;20020101;2002;2.881;1.734;1.147;81,2;48,9;32,3
AT1;AT13;AT130;90600;90600;20020101;2002;1.398;871;527;66,1;41,2;24,9
AT1;AT13;AT130;90700;90700;20020101;2002;1.232;706;526;57,3;32,8;24,5
AT1;AT13;AT130;90800;90800;20020101;2002;892;529;363;55;32,6;22,4
AT1;AT13;AT130;90900;90900;20020101;2002;1.473;904;569;53,1;32,6;20,5
AT1;AT13;AT130;91000;91000;20020101;2002;8.593;5.293;3.300;81,8;50,4;31,4
AT1;AT13;AT130;91100;91100;20020101;2002;4.265;2.474;1.792;76,6;44,5;32,2
AT1;AT13;AT130;91200;91200;20020101;2002;4.283;2.575;1.708;79;47,5;31,5
AT1;AT13;AT130;91300;91300;20020101;2002;1.273;707;565;39,5;21,9;17,5
AT1;AT13;AT130;91400;91400;20020101;2002;3.299;1.999;1.301;60,6;36,7;23,9
AT1;AT13;AT130;91500;91500;20020101;2002;3.888;2.486;1.403;80,7;51,6;29,1
AT1;AT13;AT130;91600;91600;20020101;2002;4.996;3.197;1.800;81,3;52;29,3
AT1;AT13;AT130;91700;91700;20020101;2002;2.513;1.534;979;73,8;45;28,8
AT1;AT13;AT130;91800;91800;20020101;2002;1.739;1.008;731;56,4;32,7;23,7
AT1;AT13;AT130;91900;91900;20020101;2002;2.169;1.235;934;50,9;29;21,9
AT1;AT13;AT130;92000;92000;20020101;2002;4.566;2.892;1.675;84,6;53,6;31
AT1;AT13;AT130;92100;92100;20020101;2002;6.460;3.760;2.699;72,2;42;30,2
AT1;AT13;AT130;92200;92200;20020101;2002;5.663;3.110;2.553;58,3;32;26,3
AT1;AT13;AT130;92300;92300;20020101;2002;2.999;1.718;1.281;50,3;28,8;21,5
AT1;AT13;AT130;90000;90000;20030101;2003;79.872;48.038;31.834;71,7;43,1;28,6
AT1;AT13;AT130;90100;90100;20030101;2003;451;242;209;36,8;19,7;17
AT1;AT13;AT130;90200;90200;20030101;2003;5.073;3.119;1.954;80,9;49,8;31,2
AT1;AT13;AT130;90300;90300;20030101;2003;4.216;2.583;1.633;72,4;44,4;28,1
AT1;AT13;AT130;90400;90400;20030101;2003;1.163;687;476;56,2;33,2;23
AT1;AT13;AT130;90500;90500;20030101;2003;3.031;1.836;1.195;83,4;50,5;32,9
AT1;AT13;AT130;90600;90600;20030101;2003;1.479;935;544;68,7;43,4;25,3
AT1;AT13;AT130;90700;90700;20030101;2003;1.262;734;528;57,9;33,7;24,2
AT1;AT13;AT130;90800;90800;20030101;2003;947;575;372;54,9;33,3;21,6
AT1;AT13;AT130;90900;90900;20030101;2003;1.593;970;623;57;34,7;22,3
AT1;AT13;AT130;91000;91000;20030101;2003;9.145;5.658;3.487;84,6;52,3;32,3
AT1;AT13;AT130;91100;91100;20030101;2003;4.481;2.590;1.891;78,9;45,6;33,3
AT1;AT13;AT130;91200;91200;20030101;2003;4.659;2.801;1.858;84,1;50,6;33,5
AT1;AT13;AT130;91300;91300;20030101;2003;1.367;762;604;41,8;23,3;18,5
AT1;AT13;AT130;91400;91400;20030101;2003;3.506;2.103;1.403;63,1;37,8;25,2
AT1;AT13;AT130;91500;91500;20030101;2003;4.079;2.589;1.490;83,5;53;30,5
