Jahr;Wien;1. Innere Stadt;2. Leopoldstadt;3. Landstrasse;4. Wieden;5. Margareten;6. Mariahilf;7. Neubau;8. Josefstadt;9. Alsergrund;10. Favoriten;11. Simmering;12. Meidling;13. Hietzing;14. Penzing;15. Rudolfsheim-Fuenfhaus;16. Ottakring;17. Hernals;18. Waehring;19. Doebling;20. Brigittenau;21. Floridsdorf;22. Donaustadt;23. Liesing
2002;1571123;17630;89016;82227;28975;49785;28525;28912;22219;38290;152796;78785;78971;50341;79142;67482;87914;48827;45505;65327;76837;129726;138100;85791
2003;1592846;17541;89954;82297;29348;50367;28805;28968;23156;38304;156349;80485;80270;50797;80185;67976;89153;49428;45872;66017;78792;131892;140404;86486
2004;1610410;17384;90837;83019;29394;51098;28891;29012;23309;38865;159105;81369;82178;50896;80505;68760;89822;50278;46309;66437;79441;133801;142620;87080
2005;1632569;17294;91364;83827;29573;51882;29012;29161;23588;39472;163695;82429;83372;51316;81785;69467;91997;51316;46921;66900;80758;134904;144820;87716
2006;1652449;17285;92170;84208;30126;52534;29369;30416;23597;39264;167238;82722;84240;51356;82829;70235;93817;52480;47291;67389;81288;136625;146892;89078
2007;1661246;17147;93313;83919;30189;52286;29463;29955;23613;39160;169413;82903;85011;51304;83246;70228;93877;52626;47333;67832;81719;137335;149083;90291
2008;1671221;16976;93463;83050;30262;52434;29430;30054;23703;39466;171113;85834;85736;51127;83751;70291;94193;52414;47478;67961;81648;138678;150967;91192
2009;1680135;16623;93822;82979;30348;52288;29197;29878;23639;39167;173227;87966;86950;50981;83980;70600;94526;52253;47619;67837;81986;139498;153148;91623
2010;1689995;16525;94735;83061;30331;52354;29323;30069;23435;39344;174749;89461;87462;51015;84090;70830;94816;52328;47693;67865;82083;140647;155527;92252
2011;1702855;16385;95302;83955;30541;52753;29308;30062;23379;39315;176558;90394;88023;50966;84566;71491;94951;52293;47575;68079;82969;142199;158417;93374
2012;1717084;16290;96582;84574;30724;52581;29388;30101;23560;39431;178358;91223;88515;50650;84973;71651;95704;52647;47632;68460;83351;144263;161957;94469
2013;1741246;16268;96866;85508;30989;53071;30117;30309;23930;39968;182595;92274;89616;50831;86248;73527;97565;53489;48162;68892;83977;146516;165265;95263
2014;1766746;16131;99597;86454;31452;53610;30613;30792;24279;40528;186450;93440;90874;51275;87597;74791;99094;54422;48365;69242;84305;148947;168394;96094
2015;1797337;16339;101702;88125;31691;54246;31000;31291;24518;40882;189713;95198;92229;52115;89303;76320;100738;55628;49178;69999;85525;151844;172978;96775
2016;1840226;16411;103225;89806;32751;54938;31620;32020;25054;43095;194746;97342;94170;53813;91596;78349;102605;56329;50283;71609;85815;155986;180272;98391
2017;1867582;16465;105003;90183;33035;55356;31865;32197;25528;42709;198083;100137;95955;54171;92337;78999;104323;57180;51128;72107;86868;158712;184188;101053
2018;1888776;16450;105574;90712;33319;55640;32069;32467;25662;42547;201882;101420;97624;54265;92752;79029;104627;57546;51647;72650;87239;162779;187007;103869
2019;1897491;16306;104946;91745;33263;55407;31864;32288;25466;41958;204142;103008;97634;53778;92990;77621;103785;57292;51587;72947;86502;165673;191008;106281
2020;1911191;16047;105848;91680;33212;55123;31651;31961;25021;41884;207193;104434;97078;54040;93634;76813;103117;57027;51497;73901;86368;167968;195230;110464
